fall_id,question_id,bedingung,pruefsumme
F000,E01,A_ohne_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F001,E01,B_mit_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F002,E03,C_goldkontext,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F003,E02,C_goldkontext,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F004,E02,A_ohne_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F005,E05,B_mit_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F006,E06,B_mit_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F007,E06,A_ohne_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F008,E04,C_goldkontext,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F009,E01,C_goldkontext,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F010,E04,A_ohne_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F011,E06,C_goldkontext,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F012,E02,B_mit_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F013,E05,A_ohne_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F014,E03,B_mit_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F015,E04,B_mit_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F016,E05,C_goldkontext,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
F017,E03,A_ohne_rag,cc08ca82d29fe2d6dc9fd1754c542cc4d5c34392880f8078871a1898a0c56d4d
