fall_id,question_id,bedingung,pruefsumme
F000,E01,A_ohne_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F001,E01,B_mit_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F002,E03,C_goldkontext,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F003,E02,C_goldkontext,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F004,E02,A_ohne_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F005,E05,B_mit_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F006,E06,B_mit_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F007,E06,A_ohne_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F008,E04,C_goldkontext,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F009,E01,C_goldkontext,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F010,E04,A_ohne_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F011,E06,C_goldkontext,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F012,E02,B_mit_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F013,E05,A_ohne_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F014,E03,B_mit_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F015,E04,B_mit_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F016,E05,C_goldkontext,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
F017,E03,A_ohne_rag,600302a0f540367c33f61f00e4db08519cffc6d3b9404a1ff0384f641c05adaf
